appid,review_count,avg_playtime_hours,median_playtime_hours,recommended_rate,release_year,game_name
667340,5,6.616666666666667,0.6,0.4,2017,Anxiety
668210,52,9.139102564102565,5.741666666666667,0.9230769230769231,2017,Super Fancy Pants Adventure
668290,5,1.54,1.3166666666666669,0.4,2019,From Orbit
670490,22,5.079545454545454,2.4333333333333336,0.0,2017,Rise of Man
671260,25,12.231333333333332,7.166666666666667,0.64,2017,GOKEN
673000,63,4.606084656084656,2.55,0.8095238095238095,2017,High Hell
674220,16,5.898958333333333,2.541666666666667,0.375,2017,ClickBit
674250,16,7.898958333333333,6.666666666666666,0.8125,2017,Resurgence: Earth United
674940,32,14.978645833333333,7.091666666666667,0.71875,2017,Stick Fight: The Game
675490,28,13.666666666666668,9.608333333333334,0.7857142857142857,2018,Artifact Adventure Gaiden
676760,32,1.9822916666666666,1.3916666666666666,0.34375,2019,Noise
677230,5,4.253333333333333,1.3166666666666669,0.2,2017,Around the Words
677620,44,45.11931818181818,18.34166666666667,0.9772727272727273,2019,Splitgate
677880,8,1.70625,1.2416666666666667,0.625,2017,Draw Your Game
677910,22,7.207575757575757,6.433333333333334,0.9090909090909091,2017,Life on Mars Remake
678850,31,8.279032258064515,4.066666666666666,0.7419354838709677,2017,Uurnog Uurnlimited
680930,7,6.34047619047619,2.333333333333333,0.5714285714285714,2017,Fairy Lands: Rinka and the Fairy Gems
681150,7,0.16904761904761903,0.1666666666666666,0.2857142857142857,2019,Rainbow Duck
681290,20,0.8358333333333334,0.5166666666666666,0.5,2017,Hare
681520,29,9.183908045977013,4.916666666666667,0.6896551724137931,2017,The Rodinia Project
681730,88,43.743560606060605,19.46666666666667,0.6477272727272727,2019,Nowhere Prophet
682530,72,16.7474537037037,8.425,0.6944444444444444,2019,MarZ: Tactical Base Defense
683790,7,2.6571428571428575,0.6,0.7142857142857143,2017,Tractorball
686440,45,25.625925925925923,4.583333333333333,0.9555555555555556,2017,Hard Time
687850,25,7.5986666666666665,5.633333333333334,0.72,2017,Head Goal: Soccer Online
688420,55,14.265757575757576,8.45,0.8545454545454545,2018,Bad North: Jotunn Edition
688680,18,13.843518518518517,11.558333333333334,0.7222222222222222,2017,Oswald's Adventure
690460,5,1.3199999999999998,1.4333333333333331,0.2,2017,Sky Hunter
691190,21,26.063492063492067,5.816666666666666,0.6190476190476191,2018,Desktop Audio Visualizer
692690,72,3.5749999999999997,1.4,0.7777777777777778,2019,Dance Collider
693190,5,0.19666666666666663,0.2,0.4,2017,Survival driver 2: Heavy vehicles
693880,24,0.46527777777777773,0.24166666666666664,0.4166666666666667,2017,Trivia Vault: 1980's Trivia 2
694070,5,3.4733333333333336,1.1833333333333331,0.8,2018,BadLands RoadTrip
695920,71,6.341549295774648,3.1333333333333333,0.7464788732394366,2018,Super Seducer : How to Talk to Girls
696760,6,1.1333333333333333,1.25,0.8333333333333334,2018,HoloLAB Champions
697550,79,37.43902953586498,11.85,0.46835443037974683,2019,It Lurks Below
697650,60,21.671944444444442,18.525,0.9166666666666666,2018,The 25th Ward: The Silver Case
697930,8,2.404166666666667,1.8249999999999997,0.5,2017,Brutal Runner
698830,38,1.5951754385964911,0.9083333333333332,0.6052631578947368,2017,Puzzle Dating
699080,47,1.9329787234042553,1.6333333333333333,0.7446808510638298,2017,Jake's Love Story
699170,78,53.8784188034188,40.93333333333333,0.782051282051282,2019,Fell Seal: Arbiter's Mark
699180,59,1.1211864406779661,0.9166666666666666,0.9491525423728814,2018,Human-powered spacecraft
700520,25,11.840666666666666,6.283333333333333,0.88,2018,Shift Quantum - A Cyber Noir Puzzle Platformer
701740,7,7.319047619047621,0.85,0.5714285714285714,2017,Modest Kind
702210,17,4.396078431372549,3.433333333333333,0.47058823529411764,2017,Princess Serena ~Raid of Demon Legion~
704310,7,0.37380952380952376,0.35,0.5714285714285714,2017,Lumberjack VR
704690,34,3.3024509803921567,2.716666666666667,0.7058823529411765,2017,Elisa: Seduce the Innkeeper
704760,7,4.392857142857143,1.6666666666666667,1.0,2017,Grimrush
705060,15,1.0377777777777777,0.85,0.6666666666666666,2017,Infernales
705710,34,23.91176470588235,0.29166666666666663,0.20588235294117646,2017,Sense of The Devil
705870,52,1.4493589743589743,1.1083333333333334,0.8653846153846154,2017,Echo Grotto
706370,6,22.141666666666666,21.1,0.8333333333333334,2017,LOGistICAL: USA - Oregon
706490,79,1.7803797468354432,0.9833333333333332,0.5949367088607594,2018,Little hidden city
707010,63,312.62804232804234,84.21666666666667,0.6349206349206349,2018,Will To Live Online
708150,30,8.376111111111111,8.758333333333333,0.8333333333333334,2018,Lost Artifacts - Ancient Tribe Survival
710920,65,17.223333333333333,13.9,0.6923076923076923,2019,Darksiders Genesis
712000,10,5.141666666666667,0.5249999999999999,0.5,2017,Elder Chaos
715270,12,6.259722222222222,6.208333333333334,1.0,2018,Fire and Fury: English Civil War
716940,10,0.19499999999999998,0.20833333333333331,0.6,2017,Grape Jelly
718350,5,2575.3,0.2,0.0,2017,Loot Collection: Mahjong
719070,5,0.44333333333333336,0.4166666666666667,0.6,2018,BlowOut
720030,64,1.8455729166666666,1.6083333333333334,0.8125,2018,Indecision.
720150,51,2.7290849673202615,1.2833333333333334,0.8431372549019608,2017,Shikhondo(食魂徒) - Soul Eater
720270,21,212.15634920634918,20.8,0.5714285714285714,2018,Defense Task Force - Sci Fi Tower Defense
720940,39,2.874786324786325,2.5,0.8717948717948718,2018,Horns of Fear
722960,49,14.816326530612244,5.266666666666667,0.5918367346938775,2019,CASE 2: Animatronics Survival
723110,10,8.794999999999998,3.025,0.8,2017,Scrap Galaxy
726020,31,4.306989247311828,1.5,0.7419354838709677,2017,Mission Ammunition
726600,5,0.9833333333333332,0.2333333333333333,0.2,2017,Drift Zone
726620,11,0.48333333333333334,0.3333333333333333,0.45454545454545453,2017,Kitty Rescue
726870,40,22.347083333333334,16.125,0.9,2018,Anchorhead
727070,7,4.535714285714286,4.95,0.8571428571428571,2017,Hex
727460,7,0.7095238095238096,0.5666666666666667,0.5714285714285714,2017,Magic Tower
730310,75,36.704,16.55,0.68,2018,DYNASTY WARRIORS 9
